1	-15820
10	-3005
100	32739
101	-461
102	-921
105	3
106	-2690
107	17435
108	-328
109	-83
11	-411
110	-1
111	-75
112	-13309
113	14244
114	18214
115	-93
116	-11508
117	-495
118	-162
119	-1252
12	-1327
120	-253
121	-1061
122	-363
123	-990
124	-860
125	4267
126	-735
127	-4786
128	-379
129	-9753
13	-3249
130	-2351
131	-949
132	169312
133	-1739
134	-3617
135	-1751
136	-823
137	-10137
138	111887
139	-779
14	-5002
140	-2381
141	-8516
142	27858
143	-13364
144	7030
145	-13610
146	-2659
147	-677
148	13219
149	-755
15	-706
150	-378
151	1417
152	-4681
153	-210
154	-31
155	-868
156	-65
157	-1955
158	-2641
159	-1566
16	-1005
160	-1948
161	6726
162	46028
163	22780
164	15219
165	-1316
166	-17845
167	-937
168	-4622
169	-1043
17	-7850
170	-658
171	-991
172	-108
173	-1974
174	-719
175	-572
176	-63
177	-1233
178	-498
179	-5010
18	-985
180	-491
181	-16926
182	-730
183	-308
184	-46
185	-740
186	68695
187	-39
188	-4458
189	-5994
19	-463
190	-1043
191	-837
192	-504
193	-1562
194	-1684
195	-2365
196	-2041
197	-3576
198	-3375
199	-1
2	10
20	-576
200	-2266
201	-343
202	-2749
203	-1123
204	-35
205	-1137
206	-141
207	-1
208	-843
209	-5785
21	-752
210	-820
211	-1460
212	-791
213	-1018
214	-130
215	-718
216	-5673
217	-2281
218	-1549
219	-1912
22	-1098
220	-2810
221	-116
222	-275
223	-9709
224	-15649
225	-5667
226	-6010
227	-1612
228	-3949
229	4823
23	-139
230	17743
231	5235
232	-21158
233	-10732
234	28714
235	-1192
236	-8464
237	41235
238	-9236
239	7090
24	-3348
240	-225
241	-978
242	-645
243	-11510
244	-17695
245	-96
246	-22885
247	-2160
248	-623
249	25546
25	-6854
250	-598
251	-105
252	-972
253	-91
254	-622
255	-14245
256	-12578
257	-3254
258	-1304
259	-668
26	-1525
260	-4012
261	8688
262	-6928
263	-2700
264	-4971
265	-15042
27	-81
28	-1848
29	-645
3	-460
30	-29
31	-348
32	-464
33	-13245
34	-725
35	-909
36	-4764
37	-7468
38	-691
39	-1602
4	-19998
40	-3915
41	-19634
42	-19957
43	22438
44	-37
45	-4897
46	-81
47	-662
48	33744
49	-9774
5	-16
50	-20511
51	-661
52	-2130
53	-700
54	-1786
55	-716
56	-2008
57	-273
58	-146
59	-50
6	-125
60	-423
61	-9648
62	-2441
63	-793
64	-633
65	-4107
66	-7207
67	-1106
68	10439
69	-2444
7	-17045
70	230
71	-1176
72	-1154
73	-410
74	-30673
75	-37480
76	-1685
77	-525
78	-541
79	26457
8	-46
80	-9001
81	-310
82	-3604
83	-2072
84	-64
85	-889
86	-581
87	-4001
88	-874
89	-5222
9	-570
90	21504
91	-1080
92	-2986
93	-3198
94	-410
95	-8699
96	-45
97	-5967
98	-814
99	5
